Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Eram Motors Pvt. Ltd.,Long term Loans,CRISIL,B,12-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Shailja Papers Ltd.,Letter Of credit,BRICKWORK,A 4,10-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Randhawa Automobile Engg. Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,10-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Hema Dyeing & Printing Mills Pvt. Ltd.,Bank Guarantee,CARE,A 4,10-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Jyote Motors Pvt. Ltd.,Term loans,CARE,D,09-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Jodhani Papers Pvt. Ltd.,Term loans,IND-RA,BBB,11-03-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Arisudana Industries Ltd.,Term loans,CRISIL,B,11-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Ovis Equipments Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,B+,11-03-2026,LOW,Y,Manufacturing,INC with ICRA — not cooperating; switch needed,"INC blocks bank financing; ACER vs ICRA: faster, more responsive, India-focused"
Archis Packaging (India) Pvt. Ltd.,Long term Loans,CRISIL,D,11-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Cygnet Industries Ltd.,Bank Guarantee,BRICKWORK,A 4,06-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Dynamic (C G) Equipments Pvt. Ltd.,Fund based financial facility/instrument,CARE,D,05-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Etco Industries Pvt. Ltd.,Bank Guarantee,CARE,D,05-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Voltech Manufacturing Co. Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,BB-,05-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
