Company Name,Total_Cr,Records,Agencies,Instruments,Quarters,Earliest_Escalation,Priority_Score,Dual_Quarter
Dwarakamai Constructions Pvt. Ltd.,12.0,1,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
T B P R Infra Projects Pvt. Ltd.,12.0,1,ACUITE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
J C Construction Pvt. Ltd.,11.9,2,BRICKWORK,Bank Guarantee / Term loans,Q2 2027,Apr 2027,3,Single Quarter
Atindra Construction Pvt. Ltd.,11.32,3,CRISIL,Letter of Credit / Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Paradigm Tunneling Pvt. Ltd.,11.0,2,CRISIL,Bank Guarantee / Letter Of credit,Q2 2027,Apr 2027,3,Single Quarter
Maini Construction Equipments Pvt. Ltd.,10.9,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Infab Infrastructure Pvt. Ltd.,10.75,2,CRISIL,Bank Guarantee / Letter Of credit,Q2 2027,Apr 2027,3,Single Quarter
Samal Builders Pvt. Ltd.,10.5,2,CRISIL,Bank Guarantee / Fund-Based,Q1 2027,Mar 2027,1,Single Quarter
Trishul Buildtech & Infrastructures Pvt. Ltd.,10.23,2,ACUITE,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Bharath Hi-Tech Builders Pvt. Ltd.,10.0,1,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Arrow Constructions Ltd.,10.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Geosys India Infrastructures Pvt. Ltd.,10.0,1,CRISIL,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Ensemble Infrastructure India Ltd.,10.0,1,CRISIL,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Building Blocks Projects India Pvt. Ltd.,10.0,1,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Bhardwaj Construction Co. Pvt. Ltd.,9.84,1,IND-RA,Non-fund-based financial facility/instrument,Q2 2027,Apr 2027,3,Single Quarter
